172.10.14.144 - - [07/Feb/2025:10:17:06 +0900] "GET /favicon.ico HTTP/1.1" 404 818
172.10.14.144 - - [07/Feb/2025:10:17:06 +0900] "GET /edupack_egov/tobe_shop/NexacroN_client_license.xml HTTP/1.1" 200 922
172.10.14.144 - - [07/Feb/2025:10:17:06 +0900] "GET /edupack_egov/tobe_shop/_resource_/_theme_/blue/images/background.jpg HTTP/1.1" 200 3853881
172.10.14.144 - - [07/Feb/2025:10:17:06 +0900] "GET /edupack_egov/tobe_shop/_resource_/_theme_/blue/images/btn_WF_Hinc_D.png HTTP/1.1" 200 945
172.10.14.144 - - [07/Feb/2025:10:17:06 +0900] "GET /edupack_egov/tobe_shop/_resource_/_theme_/blue/images/btn_WF_Vdec_D.png HTTP/1.1" 200 940
172.10.14.144 - - [07/Feb/2025:10:17:06 +0900] "GET /edupack_egov/tobe_shop/_resource_/_theme_/blue/images/btn_WF_Hdec_D.png HTTP/1.1" 200 941
172.10.14.144 - - [07/Feb/2025:10:17:06 +0900] "GET /edupack_egov/tobe_shop/_resource_/_theme_/blue/images/btn_TF_Normal.png HTTP/1.1" 200 988
172.10.14.144 - - [07/Feb/2025:10:17:06 +0900] "GET /edupack_egov/tobe_shop/_resource_/_theme_/blue/images/btn_TF_Min.png HTTP/1.1" 200 970
172.10.14.144 - - [07/Feb/2025:10:17:06 +0900] "GET /edupack_egov/tobe_shop/_resource_/_theme_/blue/images/btn_TF_Close.png HTTP/1.1" 200 1014
172.10.14.144 - - [07/Feb/2025:10:17:06 +0900] "GET /edupack_egov/tobe_shop/_resource_/_theme_/blue/images/btn_WF_Vinc_D.png HTTP/1.1" 200 937
172.10.14.144 - - [07/Feb/2025:10:17:06 +0900] "GET /edupack_egov/tobe_shop/_resource_/_theme_/blue/images/btn_TF_Max.png HTTP/1.1" 200 978
172.10.14.144 - - [07/Feb/2025:10:17:06 +0900] "GET /edupack_egov/tobe_shop/form/Form_Top.xfdl.js HTTP/1.1" 200 12103
172.10.14.144 - - [07/Feb/2025:10:17:06 +0900] "GET /edupack_egov/tobe_shop/_resource_/_theme_/blue/images/titlebar_icon.png HTTP/1.1" 200 1515
172.10.14.144 - - [07/Feb/2025:10:17:06 +0900] "GET /edupack_egov/tobe_shop/Base/user_form.xfdl.js HTTP/1.1" 200 8650
172.10.14.144 - - [07/Feb/2025:10:17:06 +0900] "GET /edupack_egov/tobe_shop/_resource_/_theme_/blue/images/Logo.png HTTP/1.1" 200 32859
172.10.14.144 - - [07/Feb/2025:10:17:06 +0900] "GET /edupack_egov/tobe_shop/_resource_/_theme_/blue/images/like.png HTTP/1.1" 200 31168
172.10.14.144 - - [07/Feb/2025:10:17:06 +0900] "GET /edupack_egov/tobe_shop/_resource_/_theme_/blue/images/cart.png HTTP/1.1" 200 21694
172.10.14.144 - - [07/Feb/2025:10:17:06 +0900] "GET /edupack_egov/tobe_shop/form/Form_shopMain.xfdl.js HTTP/1.1" 200 10418
172.10.14.144 - - [07/Feb/2025:10:17:06 +0900] "GET /edupack_egov/tobe_shop/form/Form_footer.xfdl.js HTTP/1.1" 200 2046
172.10.14.144 - - [07/Feb/2025:10:17:06 +0900] "GET /edupack_egov/tobe_shop/form/Form_Left.xfdl.js HTTP/1.1" 200 4408
172.10.14.144 - - [07/Feb/2025:10:17:07 +0900] "GET /edupack_egov/tobe_shop/_resource_/_theme_/blue/images/sell.png HTTP/1.1" 200 438425
172.10.14.144 - - [07/Feb/2025:10:17:07 +0900] "GET /edupack_egov/tobe_shop/_resource_/_theme_/blue/images/pro.png HTTP/1.1" 200 388643
172.10.14.144 - - [07/Feb/2025:10:17:07 +0900] "GET /edupack_egov/tobe_shop/_resource_/_theme_/blue/images/random.png HTTP/1.1" 200 132425
172.10.14.144 - - [07/Feb/2025:10:17:07 +0900] "GET /edupack_egov/tobe_shop/nexacrolib/resources/images/waitimage.gif HTTP/1.1" 200 12120
